COD_LOCALE_PROGETTO;DEN_REGIONE;DEN_PROVINCIA;DEN_COMUNE;INDIRIZZO_PROG;OC_TITOLO_PROGETTO;OC_SINTESI_PROGETTO;DESCRIZIONE_GRANDE_PROGETTO;CUP_DESCR_CATEGORIA;CUP_DESCR_NATURA;CUP_DESCR_TIPOLOGIA;CUP_DESCR_SETTORE;CUP_DESCR_SOTTOSETTORE;OC_DATA_INIZIO_PROGETTO;FINANZ_TOTALE_PUBBLICO;label
5MA10076;MARCHE;ANCONA;Castelbellino;Via localitÃ  scorcelletti lottizz. ind. cherubini snc;CODICE PROGETTO: 10076 - POR MARCHE FESR 2014-2020 Â¿ ASSE 3 Â¿ OS 7 Â¿ AZIONE 7.1  Â¿SOSTEGNO ALLÂ¿AVVIAMENTO, ALLO SVILUPPO E ALLA CONTINUITÃ  DI IMPRESA NELLE AREE DI CRISI  PRODUTTIVAÂ¿ - PROGETTI DI INVESTIMENTI PRODUTTIVI;CODICE PROGETTO: 10076 - POR MARCHE FESR 2014-2020 Â¿ ASSE 3 Â¿ OS 7 Â¿ AZIONE 7.1  Â¿SOSTEGNO ALLÂ¿AVVIAMENTO, ALLO SVILUPPO E ALLA CONTINUITÃ  DI IMPRESA NELLE AREE DI CRISI  PRODUTTIVAÂ¿ - PROGETTI DI INVESTIMENTI PRODUTTIVI;"";IMPIANTI, MACCHINARI ED ANNESSE OPERE MURARIE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Nuova realizzazione con efficientamento energetico;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;20170404;277697.1;s3_3
1MISEARS01_00996/8;MARCHE;PESARO E URBINO;Montelabbate;Via della Produzione, 61;NUOVI TESSUTI INTELLIGENTI E SOSTENIBILI MULTI-SETTORIALI PER DESIGN CREATIVO E STILE MADE-IN-ITALY;NUOVI TESSUTI INTELLIGENTI E SOSTENIBILI MULTI-SETTORIALI PER DESIGN CREATIVO E STILE MADE-IN-ITALY;"";ALTRE AREE TECNOLOGICHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180601;199477.2;s3_4
5MA18978;MARCHE;ANCONA;Jesi;Via I. Silone 1 bis;CODICE PROGETTO: 18978 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;CODICE PROGETTO: 18978 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20200728;846325.0;s3_2
4MISEF/200043/02/X45;MARCHE;MACERATA;Camerino;LoacalitÃÂ  Torre del Parco snc;PROBIOTIC NUTRACEUTICAL FOODS: RICERCA E SVILUPPO DI NUOVI ALIMENTI FUNZIONALI DI TIPO DOLCIARIO AD AZIONE PROBIOTICA;BIOTECNOLOGIE;"";ALTRE AREE TECNOLOGICHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20190901;461145.6;s3_2
5MA18063;MARCHE;MACERATA;Montecassiano;Via Tambroni 28;CODICE PROGETTO: 18063 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;CODICE PROGETTO: 18063 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20181224;5000.0;s3_2
1MISEARS01_00914/4;MARCHE;PESARO E URBINO;Montelabbate;Via della Produzione n. 61;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;"";ALTRE AREE TECNOLOGICHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180604;96000.0;s3_4
5MA10439;MARCHE;PESARO E URBINO;Cartoceto;Via Sant'Anna 131;CODICE PROGETTO: 10439 - POR MARCHE FESR 2014-2020 - AZIONE 1.3.3.1. - SELEZIONE DELLE IDEE PROGETTUALI DA AMMETTERE AL SECONDO STADIO DELLA PROCEDURA SELETTIVA PREVISTA DAL BANDO DI CUI AL DDPF N. 118/IRE DEL 04/12/2015;CODICE PROGETTO: 10439 - POR MARCHE FESR 2014-2020 - AZIONE 1.3.3.1. - SELEZIONE DELLE IDEE PROGETTUALI DA AMMETTERE AL SECONDO STADIO DELLA PROCEDURA SELETTIVA PREVISTA DAL BANDO DI CUI AL DDPF N. 118/IRE DEL 04/12/2015;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20170119;847889.63;s3_2
7VE10045844;MARCHE;ASCOLI PICENO;San Benedetto del Tronto;"";BLUE ENERGY IN PORTS AND COASTAL URBAN AREAS;BLUE ENERGY IS A GROWING SECTOR IN EUROPE THAT HAS BEEN RECENTLY OBSERVED AS A POTENTIAL DRIVER FOR EMPLOYMENT AND INNOVATION AND A PROMISING STUDY SUBJECT FOR RAND D AND EU-FUNDED PROJECTS. NEVERTHELESS, A LIMITED NUMBER OF OPERATING PLANTS EXISTS IN THE MEDITERRANEAN AND IN THE PROGRAMME AREA AND ONLY A FEW OF THEM FOCUSED ON PORTS AND COASTAL INFRASTRUCTURES AS POTENTIAL PLATFORMS FOR BLUE ENERGY PRODUCTION.   THEREFORE, THE OVERALL OBJECTIVE OF COASTENERGY IS TO FOSTER THE CREATION OF A FAVOURABLE ENVIRONMENT FOR BUSINESS INITIATIVES IN THE BLUE ENERGY SECTOR AND PROMOTE THE REALIZATION OF COASTAL BLUE ENERGY SYSTEMS IN THE PROGRAMME AREA, PARTICULARLY FOCUSING ON WAVE AND THERMAL ENERGY CONVERTERS TO BE INTEGRATED IN STRUCTURES SUCH AS BREAKWATERS, MARINAS, ETC. THESE INITIATIVES MUST BE INFORMED AND DESIGNED TO GUARANTEE THE FULL PRESERVATION OF MARINE ECOSYSTEMS AND THE LANDSCAPE, AND ALSO COMPLY WITH THE NEEDS OF OTHER MARITIME ACTIVITIES SUCH AS FISHING, AQUACULTURE, TOURISM,;"";ALTRE RICERCHE;ACQUISTO O REALIZZAZIONE DI SERVIZI;Progetti di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20190101;1797754.0;s3_4
1MISEARS01_00876/10;MARCHE;PESARO E URBINO;Urbino;VIA SASSO, 36;BIO-D;BIO-D - SVILUPPO DI BIOMARCATORI DIAGNOSTICI PER LA MEDICINA DI PRECISIONE E LA TERAPIA PERSONALIZZATA;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20201001;194266.66;s3_2
1MISEARS01_00876/6;MARCHE;PESARO E URBINO;Urbino;Via A. Saffi, 2;BIO-D;BIO-D - SVILUPPO DI BIOMARCATORI DIAGNOSTICI PER LA MEDICINA DI PRECISIONE E LA TERAPIA PERSONALIZZATA;"";ALTRE RICERCHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20201001;181988.7;s3_2
